id_cliente,eta,segmento,anzianita_mesi,num_prodotti,stipendio_accreditato,ha_carta_credito,ha_mutuo,ha_investimenti,saldo_medio_eur,patrimonio_gestito_eur,canale_preferito,accessi_app_mese,transazioni_mese,giorni_ultima_operazione,variazione_saldo_3m_pct,reclami_12m,nps,note_gestore,abbandono
CL000079,57,mass,80,2,0,1,0,0,22109.52,0.0,app,19,14,12,19.9,0,8.6,Nessuna criticita' segnalata nell'ultimo contatto telefonico.,0
CL000080,64,private,77,3,0,1,0,1,65187.0,649396.2,app,20,14,9,15.8,0,7.5,,0
CL000081,82,affluent,318,3,1,0,1,0,84061.25,0.0,app,6,20,6,-4.4,0,6.9,"Cliente soddisfatto, interessato a valutare nuovi prodotti di investimento.",0
CL000082,48,private,83,7,1,1,0,1,140641.59,147039.08,app,15,16,6,10.2,0,10.0,Valuta l'apertura di un conto cointestato con il coniuge.,0
CL000083,30,affluent,28,6,0,1,0,1,68304.74,133302.63,app,13,12,21,4.4,0,6.9,,0
CL000084,74,mass,216,6,1,1,0,1,9040.33,10965.01,filiale,0,15,13,-1.2,0,7.2,,0
CL000085,61,mass,132,4,0,1,0,0,1425.72,0.0,app,12,14,9,22.6,0,6.7,Interessato a una consulenza sulla previdenza integrativa.,0
CL000086,66,mass,260,2,1,0,0,1,7295.23,143918.54,filiale,3,9,10,-6.8,0,9.5,,0
CL000087,26,affluent,70,5,0,1,1,0,65965.45,0.0,web,8,15,14,-15.9,0,7.5,,0
CL000088,40,mass,53,5,0,1,0,0,4367.13,0.0,web,1,11,12,2.8,2,,Incontro positivo: valuta la sottoscrizione di un piano di accumulo.,0
CL000089,70,mass,77,2,1,0,0,0,3562.85,0.0,web,1,14,9,-6.0,0,8.3,Valuta l'apertura di un conto cointestato con il coniuge.,1
CL000090,74,affluent,136,7,1,1,0,1,6485.1,117751.69,filiale,1,16,17,3.1,0,8.6,,0
CL000091,48,mass,115,1,1,1,0,0,8227.65,0.0,web,5,12,7,-2.5,0,6.2,,0
CL000092,73,mass,124,4,1,0,0,0,5366.19,0.0,app,8,9,13,-7.5,0,8.4,Confronta le nostre condizioni con quelle di una fintech segnalata da un amico.,0
CL000093,75,affluent,200,2,1,0,0,0,11635.24,0.0,app,12,10,14,-1.6,0,10.0,,0
CL000094,45,mass,202,3,1,1,0,0,3316.76,0.0,filiale,2,16,12,-17.3,1,9.1,,0
CL000095,79,mass,125,4,1,0,0,0,5110.5,0.0,app,6,21,13,-17.4,1,8.4,Nessuna criticita' segnalata nell'ultimo contatto telefonico.,0
CL000096,39,affluent,35,3,0,0,0,1,16138.89,22580.42,web,5,7,10,-2.0,0,7.7,,0
CL000097,35,mass,106,1,1,0,1,0,4457.79,0.0,app,12,7,13,5.7,1,6.5,,0
CL000098,65,mass,208,5,1,0,0,0,920.63,0.0,filiale,2,23,9,-19.1,0,9.5,"Richiede un appuntamento per rivedere l'asset allocation, clima collaborativo.",0
CL000099,62,mass,105,4,0,0,0,0,14980.12,0.0,app,16,5,12,6.4,0,4.2,,0
CL000100,29,mass,115,3,0,1,0,1,4511.2,12805.53,app,13,8,13,-4.8,0,7.1,,0
CL000101,74,mass,92,3,1,1,0,0,1653.39,0.0,filiale,0,14,6,5.7,0,6.1,Incontro positivo: valuta la sottoscrizione di un piano di accumulo.,0
CL000102,33,affluent,102,1,1,0,0,1,2916.16,268659.98,app,20,16,9,3.8,1,5.2,,0
CL000103,73,affluent,169,3,1,1,0,0,67371.74,0.0,app,4,14,11,12.7,2,5.9,,0
CL000104,20,mass,88,1,0,0,0,1,7348.73,5437.07,web,6,4,10,-0.8,0,8.4,,0
CL000105,72,mass,303,4,1,1,0,0,5375.56,0.0,app,8,14,14,-18.7,0,5.9,,0
CL000106,71,mass,244,3,1,1,0,0,9674.83,0.0,app,9,14,20,25.4,0,4.4,,1
CL000107,71,affluent,178,5,0,0,0,1,57905.52,16930.94,web,0,13,13,2.2,1,8.3,,0
CL000108,63,mass,196,6,1,1,0,0,5297.52,0.0,app,11,17,13,2.8,0,7.9,,0
CL000109,51,mass,123,3,0,1,0,0,3537.61,0.0,app,13,10,20,-0.6,0,7.0,,0
CL000110,66,mass,123,1,0,1,0,0,3055.12,0.0,web,0,4,14,17.8,1,4.6,,0
CL000111,38,private,71,7,1,0,0,1,194861.67,600618.4,app,19,16,11,-13.7,2,5.8,Chiede perche' il rendimento del portafoglio e' inferiore alle attese.,0
CL000112,71,mass,88,2,0,1,0,0,15635.95,0.0,app,8,10,18,-15.6,0,5.9,,1
CL000113,56,affluent,232,5,1,0,0,1,24322.24,165008.59,web,3,19,15,-7.4,0,6.5,,0
CL000114,50,mass,283,3,0,1,0,0,16794.89,0.0,filiale,4,8,7,5.7,1,7.9,"Cliente fidelizzato, ha incrementato la liquidita' depositata.",0
CL000115,53,affluent,113,6,1,0,0,0,37331.65,0.0,app,13,18,8,-7.7,1,7.3,,0
CL000116,57,mass,118,3,1,1,0,0,6264.3,0.0,app,17,13,16,-8.2,0,8.2,Valuta l'apertura di un conto cointestato con il coniuge.,0
CL000117,22,mass,111,1,1,0,0,1,38738.86,3111.84,filiale,6,7,15,-12.4,0,9.2,Interessato a una consulenza sulla previdenza integrativa.,0
CL000118,29,affluent,74,4,1,1,0,0,118086.17,0.0,filiale,6,20,18,11.3,0,5.4,Incontro positivo: valuta la sottoscrizione di un piano di accumulo.,0
CL000119,36,private,49,3,1,1,0,1,604372.31,128621.71,filiale,6,11,16,5.3,0,9.0,Interessato a una consulenza sulla previdenza integrativa.,0
CL000120,27,mass,31,2,1,1,1,0,2169.27,0.0,app,12,12,9,10.5,1,7.9,Incontro positivo: valuta la sottoscrizione di un piano di accumulo.,0
CL000121,49,mass,276,2,1,0,0,0,31983.14,0.0,filiale,3,16,13,-5.5,0,9.5,Nessuna criticita' segnalata nell'ultimo contatto telefonico.,0
CL000122,64,mass,68,2,1,0,0,0,4129.89,0.0,filiale,2,15,14,0.1,0,8.1,,0
CL000123,63,mass,142,4,1,1,0,0,3623.73,0.0,app,14,17,19,10.0,0,7.5,,0
CL000124,51,mass,54,2,0,1,0,0,636.94,0.0,web,1,8,10,-8.7,0,8.5,,1
CL000125,76,affluent,133,5,0,0,0,0,35789.91,0.0,app,15,14,11,13.0,0,9.4,,0
CL000126,57,mass,98,2,0,0,0,0,1677.37,0.0,app,14,8,10,6.2,1,6.4,,0
CL000127,25,affluent,26,5,0,1,0,1,38529.83,63409.45,web,9,8,10,16.5,0,9.0,Interessato a una consulenza sulla previdenza integrativa.,0
CL000128,70,mass,171,2,1,1,0,0,1563.36,0.0,app,6,12,13,12.3,0,1.6,,0
CL000129,57,mass,72,2,1,1,0,0,22424.96,0.0,filiale,2,9,11,-18.6,0,4.3,,1
CL000130,61,mass,66,3,0,1,0,0,7305.75,0.0,filiale,1,9,9,-5.9,0,9.2,Lamentele ripetute sulle commissioni applicate sul conto corrente.,0
CL000131,57,mass,164,1,1,1,1,1,34609.53,6554.31,filiale,2,14,8,-27.1,1,6.9,,0
CL000132,56,mass,97,4,0,0,0,0,1770.96,0.0,app,11,10,11,-22.4,0,8.2,,0
CL000133,25,mass,44,3,1,1,0,0,17930.55,0.0,web,4,14,11,-10.8,0,6.6,,1
CL000134,56,private,168,3,1,1,0,1,26337.69,513398.81,filiale,3,10,6,17.0,0,4.3,"Richiede un appuntamento per rivedere l'asset allocation, clima collaborativo.",0
CL000135,72,affluent,89,4,1,1,0,0,32177.65,0.0,app,10,20,12,0.7,0,9.6,,0
CL000136,40,affluent,37,2,0,1,0,1,15112.82,292315.01,web,5,13,15,6.3,1,7.6,Ha accennato alla possibilita' di trasferire i dossier titoli a un altro istituto.,0
CL000137,59,mass,211,5,0,1,0,0,2971.55,0.0,app,14,12,11,-5.1,0,,Ha ridotto l'operativita' e valuta di spostare la liquidita' altrove.,0
CL000138,22,mass,222,3,1,0,1,0,2793.79,0.0,web,3,10,12,-3.0,1,,"Richiede un appuntamento per rivedere l'asset allocation, clima collaborativo.",0
CL000139,42,mass,91,1,0,0,0,0,1952.28,0.0,web,2,4,15,9.0,1,8.2,,1
CL000140,48,mass,97,2,0,1,0,0,1431.22,0.0,filiale,6,12,12,-1.1,0,9.1,,0
CL000141,84,mass,206,3,0,0,0,0,2986.38,0.0,app,4,8,12,-1.6,1,7.3,Il cliente ha chiesto informazioni sui costi e i tempi di chiusura del conto.,1
CL000142,34,mass,170,1,0,0,1,0,4936.57,0.0,filiale,3,12,15,7.2,0,7.6,Incontro positivo: valuta la sottoscrizione di un piano di accumulo.,0
CL000143,38,mass,51,3,1,0,0,0,12674.22,0.0,app,24,9,16,-11.9,0,6.2,"Richiede un appuntamento per rivedere l'asset allocation, clima collaborativo.",0
CL000144,46,mass,87,3,1,1,0,0,5801.17,0.0,web,2,17,13,3.1,2,6.2,Lamentele ripetute sulle commissioni applicate sul conto corrente.,0
CL000145,85,mass,163,3,0,1,0,1,12706.72,34796.5,filiale,0,10,19,3.7,0,6.6,,1
CL000146,76,mass,192,3,0,0,0,0,1175.73,0.0,filiale,0,9,10,-20.3,0,8.7,,0
CL000147,22,mass,118,6,1,1,1,0,3011.9,0.0,filiale,7,13,17,-12.3,0,6.6,,0
CL000148,35,mass,121,2,0,1,0,0,8432.97,0.0,web,7,11,19,-6.9,0,6.9,Nessuna criticita' segnalata nell'ultimo contatto telefonico.,0
CL000149,74,mass,218,5,1,0,0,0,6056.41,0.0,web,0,14,13,-4.9,0,,,0
CL000150,23,mass,71,1,0,0,0,0,2048.66,0.0,filiale,3,5,13,6.8,0,7.4,Insoddisfatto dei tempi di risposta dell'assistenza dopo l'ultima richiesta.,0
CL000151,76,mass,257,2,1,0,0,0,10307.86,0.0,app,18,12,20,-10.1,0,7.5,"Richiede un appuntamento per rivedere l'asset allocation, clima collaborativo.",0
CL000152,38,affluent,67,7,0,1,0,1,16541.27,91856.66,filiale,7,12,13,-10.3,1,8.6,Ha menzionato un'offerta ricevuta da una banca online con canone azzerato.,1
CL000153,80,mass,189,1,0,0,0,1,2209.17,14545.68,web,1,13,11,8.5,0,7.6,,0
CL000154,39,mass,74,2,1,0,0,0,6892.94,0.0,filiale,6,12,13,12.4,0,2.4,,0
CL000155,48,private,99,6,0,1,1,1,134154.82,867167.88,app,16,18,13,12.8,0,10.0,,0
CL000156,63,mass,125,2,1,0,0,0,2777.7,0.0,app,6,18,11,-12.6,0,6.4,,0
CL000157,28,affluent,58,3,0,1,1,1,16164.58,401338.85,app,17,13,12,-10.1,0,4.4,,0
CL000158,56,affluent,201,4,1,1,1,1,10187.76,102175.58,filiale,5,17,9,-19.6,0,9.4,,0
CL000159,53,mass,92,2,1,0,0,1,3114.51,77203.59,app,24,17,15,-30.3,0,,,0
CL000160,71,mass,131,5,0,1,0,1,11968.2,38473.43,web,0,9,10,-14.0,0,6.8,Ha ridotto l'operativita' e valuta di spostare la liquidita' altrove.,1
CL000161,85,mass,185,5,0,1,0,1,5541.92,12580.06,app,16,15,12,-7.0,1,4.1,,0
CL000162,63,private,360,4,0,0,0,1,316137.35,75646.29,web,1,13,17,3.4,1,6.8,Interessato a una consulenza sulla previdenza integrativa.,0
CL000163,47,mass,142,3,0,0,0,0,7075.98,0.0,app,11,7,16,10.9,1,5.6,,1
CL000164,46,mass,106,2,1,0,0,1,2563.11,63479.85,web,4,13,12,-0.4,1,6.4,,0
CL000165,47,mass,43,2,0,1,1,0,1008.05,0.0,filiale,5,9,10,18.1,0,7.5,,0
CL000166,73,mass,127,2,0,0,0,0,1931.07,0.0,web,0,9,10,-10.0,0,4.0,,0
CL000167,41,affluent,67,5,0,1,1,1,14583.52,94558.92,app,11,14,12,17.3,0,6.4,,0
CL000168,31,mass,69,2,0,1,0,0,2267.14,0.0,filiale,8,7,13,-9.1,1,5.5,"Ha apprezzato il nuovo servizio dell'app, esperienza complessivamente buona.",0
CL000169,42,affluent,76,4,0,1,0,0,64516.57,0.0,web,3,6,12,6.7,2,5.0,,0
CL000170,21,affluent,108,2,0,0,0,0,63913.7,0.0,app,16,2,55,3.5,0,7.4,,0
CL000171,27,mass,71,1,0,0,1,1,32555.18,23623.62,app,20,4,7,15.1,1,3.3,,0
CL000172,25,mass,40,1,1,1,0,0,2236.46,0.0,filiale,6,14,11,18.7,0,6.3,,0
CL000173,70,affluent,193,7,0,1,0,1,112359.96,12787.89,filiale,0,10,10,-11.2,0,6.9,,0
CL000174,67,affluent,81,6,1,0,0,1,111736.64,504907.94,filiale,1,21,11,-26.7,0,7.0,Valuta l'apertura di un conto cointestato con il coniuge.,0
CL000175,65,affluent,126,2,1,1,0,0,21649.16,0.0,filiale,2,11,15,-1.6,0,9.3,"Cliente soddisfatto, interessato a valutare nuovi prodotti di investimento.",0
CL000176,50,mass,100,2,1,0,1,0,6810.36,0.0,app,11,16,11,5.7,0,,Incontro positivo: valuta la sottoscrizione di un piano di accumulo.,0
CL000177,67,mass,149,5,1,1,0,0,13584.16,0.0,app,8,25,15,0.8,0,10.0,,0
CL000178,30,mass,166,1,0,0,0,0,4217.37,0.0,filiale,6,8,13,35.9,0,5.5,Interessato a una consulenza sulla previdenza integrativa.,1
CL000179,79,affluent,360,5,1,1,0,1,23600.12,115994.16,app,16,15,7,7.5,1,8.0,,0
CL000180,53,mass,115,4,1,0,0,1,2528.54,11091.91,web,3,11,13,7.5,1,6.9,,0
CL000181,81,mass,114,1,1,1,0,0,531.64,0.0,web,0,12,17,-14.6,1,5.7,,0
CL000182,30,mass,50,2,0,0,0,0,4738.26,0.0,app,19,1,69,-5.6,1,6.9,,1
CL000183,52,mass,76,5,1,1,1,1,2347.53,4586.03,app,9,14,15,6.7,0,9.5,,0
CL000184,65,affluent,144,4,1,1,1,1,10136.98,57499.62,app,9,14,13,4.7,0,6.9,Interessato a una consulenza sulla previdenza integrativa.,0
CL000185,52,mass,46,3,1,1,0,0,6502.7,0.0,app,5,15,13,1.8,0,9.3,"Ha apprezzato il nuovo servizio dell'app, esperienza complessivamente buona.",0
CL000186,49,mass,58,3,0,1,0,1,1204.5,3895.56,app,10,8,11,16.1,0,7.9,,0
CL000187,30,affluent,102,3,1,0,0,0,55117.99,0.0,app,10,7,5,-7.1,0,7.5,,1
CL000188,45,affluent,168,1,0,0,0,0,41233.19,0.0,app,11,11,9,6.1,0,10.0,,0
CL000189,35,mass,156,3,1,1,0,0,3102.07,0.0,app,13,10,13,-6.8,0,5.8,,0
CL000190,39,mass,100,5,1,0,0,0,4200.76,0.0,web,1,14,13,35.1,0,8.7,"Cliente fidelizzato, ha incrementato la liquidita' depositata.",0
CL000191,65,private,180,7,0,1,0,1,45706.62,1078470.96,filiale,4,14,14,-8.1,0,9.4,,0
CL000192,61,affluent,205,1,0,0,0,1,52421.09,127171.51,app,12,4,11,26.0,0,8.2,,1
CL000193,60,mass,100,4,1,1,0,1,5263.9,7099.32,web,1,11,9,-1.9,0,6.9,"Cliente fidelizzato, ha incrementato la liquidita' depositata.",0
CL000194,43,mass,173,2,0,1,0,1,5628.88,48191.3,web,5,7,19,-6.7,0,7.8,,0
CL000195,83,mass,91,2,1,0,0,0,6986.26,0.0,web,0,13,12,0.6,0,5.0,,1
CL000196,25,mass,28,2,1,0,0,0,2494.46,0.0,filiale,3,10,15,-12.7,1,4.7,Lamentele ripetute sulle commissioni applicate sul conto corrente.,0
CL000197,42,affluent,81,3,1,1,1,1,6799.52,78446.85,web,5,14,13,-10.0,1,,,0
CL000198,27,mass,22,3,1,1,0,1,10525.82,19418.71,web,2,10,10,20.7,0,6.4,Incontro positivo: valuta la sottoscrizione di un piano di accumulo.,0
CL000199,42,mass,134,2,1,0,0,0,8265.51,0.0,filiale,2,11,8,6.5,0,5.4,"Ha apprezzato il nuovo servizio dell'app, esperienza complessivamente buona.",0
CL000200,83,affluent,122,1,1,1,0,0,16480.56,0.0,web,0,11,16,12.1,0,8.1,,0
CL000201,44,private,93,5,0,0,0,1,192797.67,848610.11,app,15,5,17,-4.5,0,6.5,"Cliente soddisfatto, interessato a valutare nuovi prodotti di investimento.",0
CL000202,79,affluent,137,4,1,1,0,0,82779.49,0.0,filiale,0,11,18,9.4,0,8.3,"Richiede un appuntamento per rivedere l'asset allocation, clima collaborativo.",0
CL000203,52,mass,92,3,1,1,1,0,12392.3,0.0,app,11,16,8,2.7,0,10.0,,0
CL000204,66,mass,93,4,1,1,0,0,2675.51,0.0,web,1,15,5,-7.5,0,7.2,,0
CL000205,50,mass,140,3,0,1,1,0,1164.58,0.0,filiale,1,15,14,39.2,0,6.6,"Cliente soddisfatto, interessato a valutare nuovi prodotti di investimento.",0
CL000206,37,mass,66,2,1,0,0,0,1359.0,0.0,web,3,7,10,-15.7,0,5.5,Lamentele ripetute sulle commissioni applicate sul conto corrente.,0
CL000207,70,mass,126,4,1,1,0,0,3359.16,0.0,app,9,11,19,2.0,0,6.0,"Cliente soddisfatto, interessato a valutare nuovi prodotti di investimento.",0
CL000208,83,mass,169,3,0,1,0,1,16582.21,11136.88,app,5,7,11,7.7,0,6.7,,0
CL000209,37,mass,175,1,1,1,0,0,2308.61,0.0,filiale,4,17,17,4.7,3,1.4,,0
CL000210,71,affluent,208,5,1,1,0,1,15600.6,245906.46,app,10,16,13,-4.3,0,9.1,,0
CL000211,37,private,69,5,0,1,0,1,76571.28,166505.1,filiale,4,9,15,-6.7,0,6.9,,1
CL000212,67,mass,92,5,1,1,1,0,2755.74,0.0,app,10,15,11,5.2,1,7.3,,0
CL000213,72,mass,239,4,1,1,0,0,4402.36,0.0,web,0,13,8,-7.8,0,8.2,Il cliente ha chiesto informazioni sui costi e i tempi di chiusura del conto.,0
